"Date","Price","Open","High","Low","Change %"
"Dec 20, 2018","1.2657","1.2611","1.2709","1.2609","0.37%"
"Dec 19, 2018","1.2610","1.2641","1.2681","1.2608","-0.29%"
"Dec 18, 2018","1.2647","1.2625","1.2708","1.2611","0.16%"
"Dec 17, 2018","1.2627","1.2591","1.2648","1.2569","0.34%"
"Dec 16, 2018","1.2584","1.2603","1.2603","1.2576","0.00%"
"Dec 14, 2018","1.2584","1.2655","1.2675","1.2528","-0.58%"
"Dec 13, 2018","1.2657","1.2635","1.2688","1.2611","0.21%"
"Dec 12, 2018","1.2631","1.2489","1.2673","1.2477","1.16%"
"Dec 11, 2018","1.2486","1.2563","1.2640","1.2480","-0.60%"
"Dec 10, 2018","1.2561","1.2729","1.2760","1.2507","-1.24%"
"Dec 09, 2018","1.2719","1.2705","1.2726","1.2704","-0.08%"
"Dec 07, 2018","1.2729","1.2785","1.2812","1.2711","-0.44%"
"Dec 06, 2018","1.2785","1.2733","1.2812","1.2700","0.41%"
"Dec 05, 2018","1.2733","1.2725","1.2799","1.2671","0.10%"
"Dec 04, 2018","1.2720","1.2725","1.2841","1.2659","-0.03%"
"Dec 03, 2018","1.2724","1.2769","1.2826","1.2699","-0.22%"
"Dec 02, 2018","1.2752","1.2746","1.2752","1.2734","0.00%"
"Nov 30, 2018","1.2752","1.2792","1.2811","1.2734","-0.33%"
"Nov 29, 2018","1.2794","1.2825","1.2853","1.2755","-0.24%"
"Nov 28, 2018","1.2825","1.2746","1.2848","1.2731","0.59%"
"Nov 27, 2018","1.2750","1.2835","1.2836","1.2726","-0.65%"
"Nov 26, 2018","1.2834","1.2853","1.2865","1.2795","0.16%"
"Nov 25, 2018","1.2813","1.2826","1.2829","1.2812","-0.01%"
"Nov 23, 2018","1.2814","1.2879","1.2884","1.2799","-0.50%"
"Nov 22, 2018","1.2878","1.2776","1.2928","1.2769","0.79%"
"Nov 21, 2018","1.2777","1.2789","1.2821","1.2764","-0.09%"
"Nov 20, 2018","1.2788","1.2851","1.2884","1.2776","-0.49%"
"Nov 19, 2018","1.2851","1.2829","1.2885","1.2795","0.12%"
"Nov 18, 2018","1.2835","1.2847","1.2847","1.2827","-0.03%"
"Nov 16, 2018","1.2839","1.2772","1.2879","1.2758","0.49%"
"Nov 15, 2018","1.2776","1.2991","1.3031","1.2724","-1.69%"
"Nov 14, 2018","1.2996","1.2979","1.3074","1.2886","0.17%"
"Nov 13, 2018","1.2974","1.2849","1.3050","1.2840","0.97%"
"Nov 12, 2018","1.2849","1.2960","1.2967","1.2827","-0.69%"
"Nov 11, 2018","1.2938","1.2914","1.2938","1.2914","-0.29%"
"Nov 09, 2018","1.2976","1.3062","1.3081","1.2958","-0.65%"
"Nov 08, 2018","1.3061","1.3126","1.3150","1.3043","-0.50%"
"Nov 07, 2018","1.3126","1.3102","1.3176","1.3073","0.21%"
"Nov 06, 2018","1.3098","1.3040","1.3109","1.3020","0.43%"
"Nov 05, 2018","1.3042","1.3025","1.3064","1.2965","0.28%"
"Nov 04, 2018","1.3006","1.3024","1.3024","1.3000","0.25%"
"Nov 02, 2018","1.2973","1.3012","1.3042","1.2951","-0.29%"
"Nov 01, 2018","1.3011","1.2769","1.3036","1.2759","1.92%"
"Oct 31, 2018","1.2766","1.2705","1.2831","1.2697","0.46%"
"Oct 30, 2018","1.2707","1.2793","1.2814","1.2696","-0.67%"
"Oct 29, 2018","1.2793","1.2829","1.2854","1.2792","-0.30%"
"Oct 28, 2018","1.2831","1.2825","1.2835","1.2824","-0.02%"
"Oct 26, 2018","1.2833","1.2817","1.2844","1.2777","0.12%"
"Oct 25, 2018","1.2817","1.2883","1.2921","1.2798","-0.50%"
"Oct 24, 2018","1.2881","1.2982","1.2993","1.2866","-0.79%"
"Oct 23, 2018","1.2983","1.2964","1.3045","1.2936","0.16%"
"Oct 22, 2018","1.2962","1.3069","1.3092","1.2954","-0.80%"
"Oct 21, 2018","1.3066","1.3075","1.3075","1.3063","-0.05%"
"Oct 19, 2018","1.3072","1.3017","1.3104","1.3011","0.41%"
"Oct 18, 2018","1.3018","1.3113","1.3132","1.3015","-0.74%"
"Oct 17, 2018","1.3115","1.3183","1.3194","1.3100","-0.55%"
"Oct 16, 2018","1.3187","1.3153","1.3237","1.3141","0.26%"
"Oct 15, 2018","1.3153","1.3140","1.3183","1.3079","0.38%"
"Oct 14, 2018","1.3103","1.3086","1.3110","1.3085","-0.40%"
"Oct 12, 2018","1.3155","1.3225","1.3259","1.3149","-0.61%"
"Oct 11, 2018","1.3236","1.3196","1.3249","1.3182","0.30%"
"Oct 10, 2018","1.3196","1.3143","1.3217","1.3134","0.40%"
"Oct 09, 2018","1.3144","1.3091","1.3152","1.3032","0.41%"
"Oct 08, 2018","1.3090","1.3108","1.3136","1.3028","-0.28%"
"Oct 07, 2018","1.3127","1.3124","1.3129","1.3109","0.03%"
"Oct 05, 2018","1.3123","1.3019","1.3126","1.3002","0.79%"
"Oct 04, 2018","1.3020","1.2941","1.3042","1.2921","0.62%"
"Oct 03, 2018","1.2940","1.2979","1.3024","1.2924","-0.30%"
"Oct 02, 2018","1.2979","1.3044","1.3057","1.2940","-0.49%"
"Oct 01, 2018","1.3043","1.3031","1.3112","1.3011","0.03%"
"Sep 30, 2018","1.3039","1.3043","1.3043","1.3030","0.06%"
"Sep 28, 2018","1.3031","1.3081","1.3093","1.3000","-0.39%"
"Sep 27, 2018","1.3082","1.3168","1.3188","1.3075","-0.67%"
"Sep 26, 2018","1.3170","1.3185","1.3219","1.3138","-0.10%"
"Sep 25, 2018","1.3183","1.3121","1.3195","1.3094","0.47%"
"Sep 24, 2018","1.3121","1.3069","1.3169","1.3055","0.32%"
"Sep 23, 2018","1.3079","1.3078","1.3085","1.3071","0.02%"
"Sep 21, 2018","1.3077","1.3268","1.3278","1.3054","-1.43%"
"Sep 20, 2018","1.3267","1.3144","1.3299","1.3135","0.94%"
"Sep 19, 2018","1.3144","1.3150","1.3216","1.3095","-0.04%"
"Sep 18, 2018","1.3149","1.3158","1.3174","1.3118","-0.07%"
"Sep 17, 2018","1.3158","1.3069","1.3168","1.3069","0.67%"
"Sep 16, 2018","1.3071","1.3070","1.3077","1.3070","0.02%"
"Sep 14, 2018","1.3068","1.3107","1.3143","1.3055","-0.30%"
"Sep 13, 2018","1.3107","1.3047","1.3123","1.3026","0.45%"
"Sep 12, 2018","1.3048","1.3033","1.3081","1.2980","0.10%"
"Sep 11, 2018","1.3035","1.3027","1.3089","1.2970","0.06%"
"Sep 10, 2018","1.3027","1.2935","1.3053","1.2896","0.76%"
"Sep 09, 2018","1.2929","1.2926","1.2929","1.2916","0.04%"
"Sep 07, 2018","1.2924","1.2933","1.3031","1.2910","-0.06%"
"Sep 06, 2018","1.2932","1.2905","1.2963","1.2895","0.22%"
"Sep 05, 2018","1.2904","1.2854","1.2984","1.2785","0.37%"
"Sep 04, 2018","1.2856","1.2867","1.2884","1.2811","-0.12%"
"Sep 03, 2018","1.2872","1.2971","1.2971","1.2854","-0.38%"
"Sep 02, 2018","1.2921","1.2921","1.2931","1.2915","-0.32%"
"Aug 31, 2018","1.2963","1.3014","1.3031","1.2947","-0.36%"
"Aug 30, 2018","1.3010","1.3027","1.3045","1.2985","-0.13%"
"Aug 29, 2018","1.3027","1.2876","1.3034","1.2846","1.16%"
"Aug 28, 2018","1.2877","1.2893","1.2933","1.2861","-0.12%"
"Aug 27, 2018","1.2893","1.2840","1.2903","1.2829","0.27%"
"Aug 26, 2018","1.2858","1.2843","1.2864","1.2837","0.10%"
"Aug 24, 2018","1.2845","1.2815","1.2883","1.2799","0.26%"
"Aug 23, 2018","1.2812","1.2912","1.2920","1.2804","-0.77%"
